# Runtime render assets remain the previously qualified external P1 bundle.
catalog	/tmp/ac6-mission01-native-p1-camera/catalog.tsv
assets	assets.tsv
launches	/tmp/ac6-mission01-native-p1-camera/launches.tsv
input	/tmp/ac6-mission01-native-p1-camera/input.tsv
radios	radios.tsv
sequence	sequence.tsv
render	/tmp/ac6-mission01-native-p1-camera/render.tsv
drawables	/tmp/ac6-mission01-native-p1-camera/drawables.tsv
transforms	/tmp/ac6-mission01-native-p1-camera/transforms.tsv
materials	/tmp/ac6-mission01-native-p1-camera/materials.tsv
textures	/tmp/ac6-mission01-native-p1-camera/textures.tsv
shaders	/tmp/ac6-mission01-native-p1-camera/shaders.tsv
targets	/tmp/ac6-mission01-native-p1-camera/targets.tsv
passes	/tmp/ac6-mission01-native-p1-camera/passes.tsv
resolves	/tmp/ac6-mission01-native-p1-camera/resolves.tsv
buffers	/tmp/ac6-mission01-native-p1-camera/buffers.tsv
