# Retail vectors for the transform kernel, micro-executed from 0x822A1E80 and
# its three rotations. Every row is one run: what was called, how the basis was
# seeded, the angle(s), and the three resulting rows as raw big-endian float bits.
#
# Committed so tests/retail_transform_tests.cpp runs inside ctest without Ghidra.
# Regenerate with tools/emit_transform_kernel_vectors.py.
#
# The `sentinel` seed is rows (1,2,3,4), (5,6,7,8), (9,10,11,12) -- every word
# distinct, no two rows or columns alike -- with (17,29,43,61) in the 16 bytes
# 0x822A1E80 never writes. The `identity` seed is all zeros; 0x822A1E80 writes
# the identity basis itself out of .rodata.
#
# columns: case kind seed angles row0 row1 row2
assemble-mixed	assemble	identity	f1=0.25,f2=-0.5,f3=0.75	0x3F0FAF33	0x3F291323	0x3EFF60E0	0x00000000	0xBF2F5AEF	0x3F357D40	0xBE2BF688	0x00000000	0xBEEDD5BE	0xBE7D5776	0x3F59AD4E	0x00000000
identity-zero	assemble	identity	f1=0.0,f2=0.0,f3=0.0	0x3F800000	0x00000000	0x00000000	0x00000000	0x00000000	0x3F800000	0x00000000	0x00000000	0x00000000	0x00000000	0x3F800000	0x00000000
sentinel-0x820A9B30-+0p00	rotate:0x820A9B30	sentinel	f1=0.0	0x3F800000	0x40000000	0x40400000	0x40800000	0x40A00000	0x40C00000	0x40E00000	0x41000000	0x41100000	0x41200000	0x41300000	0x41400000
sentinel-0x820A9B30-+0p25	rotate:0x820A9B30	sentinel	f1=0.25	0xBFA0FD12	0xBF09455E	0x3E3DBDB0	0x3F682434	0x40A00000	0x40C00000	0x40E00000	0x41000000	0x410F7B5B	0x4122F163	0x4136676A	0x4149DD73
sentinel-0x820A9B30--0p50	rotate:0x820A9B30	sentinel	f1=-0.5	0x40A6283E	0x40D194DA	0x40FD0176	0x41143709	0x40A00000	0x40C00000	0x40E00000	0x41000000	0x40ED66F5	0x40FA24AA	0x4103712F	0x4109D009
sentinel-0x820A9B30-+0p75	rotate:0x820A9B30	sentinel	f1=0.75	0xC0ACE5DE	0xC0AB4BDC	0xC0A9B1D9	0xC0A817D7	0x40A00000	0x40C00000	0x40E00000	0x41000000	0x40E889F1	0x410AE1F6	0x41217EF3	0x41381BF0
sentinel-0x820A99F8-+0p00	rotate:0x820A99F8	sentinel	f1=0.0	0x3F800000	0x40000000	0x40400000	0x40800000	0x40A00000	0x40C00000	0x40E00000	0x41000000	0x41100000	0x41200000	0x41300000	0x41400000
sentinel-0x820A99F8-+0p25	rotate:0x820A99F8	sentinel	f1=0.25	0x3F800000	0x40000000	0x40400000	0x40800000	0x40E24740	0x410499A8	0x41180FB0	0x412B85B8	0x40EF7650	0x41034674	0x410ED1C0	0x411A5D0D
sentinel-0x820A99F8--0p50	rotate:0x820A99F8	sentinel	f1=-0.5	0x3F800000	0x40000000	0x40400000	0x40800000	0x3D95ACC0	0x3EF14670	0x3F5E90D8	0x3FA23F3C	0x4124B9D7	0x413A7026	0x41502674	0x4165DCC2
sentinel-0x820A99F8-+0p75	rotate:0x820A99F8	sentinel	f1=0.75	0x3F800000	0x40000000	0x40400000	0x40800000	0x411CB0EC	0x41334DE8	0x4149EAE6	0x416087E4	0x404B5411	0x404E8816	0x4051BC1A	0x4054F01E
sentinel-0x82211828-+0p00	rotate:0x82211828	sentinel	f1=0.0	0x3F800000	0x40000000	0x40400000	0x40800000	0x40A00000	0x40C00000	0x40E00000	0x41000000	0x41100000	0x41200000	0x41300000	0x41400000
sentinel-0x82211828-+0p25	rotate:0x82211828	sentinel	f1=0.25	0x400D2DFE	0x405B061E	0x40946F20	0x40BB5B30	0x40931BEB	0x40AA3285	0x40C1491D	0x40D85FB6	0x41100000	0x41200000	0x41300000	0x41400000
sentinel-0x82211828--0p50	rotate:0x82211828	sentinel	f1=-0.5	0xBFC28074	0xBF8F89A3	0xBF3925A8	0xBEA67010	0x409BC13D	0x40C72DD9	0x40F29A76	0x410F0389	0x41100000	0x41200000	0x41300000	0x41400000
sentinel-0x82211828-+0p75	rotate:0x82211828	sentinel	f1=0.75	0x408479EB	0x40B1B3E6	0x40DEEDE1	0x410613EE	0x403E83FC	0x4041B800	0x4044EC05	0x4048200B	0x41100000	0x41200000	0x41300000	0x41400000
