path,bytes,sha256
FINAL_VERIFICATION.md,698,da481db4c733d9d031c7781006470e111adaa15a4becded55c875877a252e4c8
analysis/assault_record_layout.csv,318,d0361fb9b231277999b580531cc3d354e63ad73bd828407c2cc235fd0ac1a40d
analysis/campaign_aggregate_layout.csv,590,ad7d197365f8bef4827df8bcc7c9ea34e2f257bd8ce4e04cb8df28e273c7f1c1
analysis/campaign_result_ui_queries.csv,447,100aef6209d46ce77b51ed2d55d1d84d74d34a18a54b9bf1675018a3707875ba
analysis/evidence_source_hashes.csv,30,90a8d0c49994923d06e8b846834ee955f4952c9ad42aeddaa1489e13d8eefc1a
analysis/function_map.csv,764,f2d5ea692b0686781d55bd709bc16428cf67046b08d5cbe26e94f502f083b1d0
analysis/gallery_progression_functions.csv,520,6b8e7798ea218325c1279ed2cfeb2f37a1ba2724b443b6839a9653c41903a031
analysis/medal_layout.csv,280,ad9dbb64da3ecb18657ae2c349f043c2649155364bbec5401d13d839bc9f045c
analysis/mission_completion_unlock_edges.csv,310,1688ef68dab688acc559e44eb346bde7e6c63a8743e842a13854756ae26b43b5
analysis/mission_result_layout.csv,1074,0f1e7d411ae781bd0392ad934e178a02528658922d47d0f1d4eed940655beae8
analysis/rank_calculation_contract.csv,403,b63183c63fe7c65e306991618f21e3bc190328b2461271b173e22b2edd492d8c
analysis/runtime_persistent_bank_boundary.csv,301,cebcf9d0c2585cc494b2af7d633f6128de707ec8ad254cab9e0bbaa58d604a42
analysis/runtime_profile_layout.csv,518,6dde2f73b0ddc950d90366e3a22a1838e986f7d7e5e12f615162505fec684490
analysis/save_property_layout.csv,473,d04c86081218cc5fec475ecee55de65ab2d31b4064ed3a127350893cf15f325a
analysis/save_validation_contract.csv,290,9394e6223135ad1fa7e8f7964068ebe9d94d7f99f30feb5480f99f53d6c1cf00
analysis/score_formula.csv,425,70cdddfe4d9728df742620ace3c639abbd7b8c63556765ddbe4927474ade0c32
analysis/serialized_profile_layout.csv,348,0e2bc17a31040271306c116419b047597ff66a6abbeda860ef7dd149b9c8864c
closure_summary.json,414,879a0bb84df26869acea6f594a6fc184181d7cec317871b206f7586c338a2d2e
reports/AC6_CAMPAIGN_RESULT_SAVE_CLOSURE.md,6962,4a979afb690add99c1247c5f3d28252038c962307840dda8fa5f87bdb5528178
reports/AC6_GALLERY_PROGRESSION_ATTACK.md,2437,a2fe2a19f87a653e7a33055b62dd5f0b97d37b60b4247d7e72c811a0ff057551
reports/CORRECTIONS_AND_RETRACTIONS.md,1266,ce80fbeade4210f20a19b4cc9debf09486966bb7e6de99bed500278f8671c98b
reports/NEXT_SUBSYSTEM_DECISION.md,1170,7bd323e2de3195f8adcec0952340b6e26d9b1c3b40b47e49b31583e26d22b981
tests/synthetic_missions.csv,947,29b94f943399f07f55794d0f9f732cbcf06e5813565c80b06d3350680f19fb5e
tests/synthetic_summary.json,123,80dd838c231ee83ac0090cb42e68b4238d9272869bc6145272c89d6c2a962432
tools/inspect_ac6_save_property.py,3758,8c745390241ec146dd66a58285f4a82d06b2d765e4093aa39bf8efb1b524c652
