# The PLAD entry of every campaign mission bundle: FHM child 2.
# Extracted with tools/extract_ac6_pac.py --indices 9..23 --decompress, then
# tools/ac6_fhm.py. The archives are inputs and are never committed; this table
# is 33 records of 0x10 bytes and is.
#
# Layout, from 0x82249BA8 and 0x82249BC8 (cycle 1131): a 0x10-byte header whose
# word +0x08 is the record count, then `count` records of 0x10 bytes, each three
# big-endian floats and a word. The mission loader reads only the fourth word,
# indexing by the player slot at global+0x4B40, and stores it to +0xF0 - the
# route cursor - of the unit at manager+0x404.
#
# Every campaign mission has one. Counts are 1 or 3, and 3 is exactly the
# multi-operation missions. word3 is not the array index: entry 11 has 0, 2, 3.
# columns: pac_entry mission slot x y z word3
9	1	0	-2025.0000	1500.0000	1345.0000	0
10	2	0	5008.0000	0.0000	35520.0000	0
11	3	0	-3244.0000	1363.0000	16320.0000	0
11	3	1	1104.0000	1363.0000	16208.0000	2
11	3	2	-7352.0000	1363.0000	16000.0000	3
12	4	0	-25038.0000	3760.0000	19632.0000	0
12	4	1	9728.0000	4861.0000	16128.0000	1
12	4	2	-6784.0000	5310.0000	24640.0000	2
13	5	0	-1001.0000	1604.0000	4941.0000	0
13	5	1	-17000.0000	1000.0000	6000.0000	1
13	5	2	25350.0000	250.0000	19000.0000	2
14	6	0	-30848.0000	800.0000	30080.0000	0
14	6	1	0.0000	800.0000	40000.0000	1
14	6	2	30000.0000	1000.0000	30000.0000	2
15	7	0	-33792.0000	3000.0000	39936.0000	0
15	7	1	-8384.0000	6000.0000	18624.0000	1
15	7	2	-31296.0000	9000.0000	7360.0000	2
16	8	0	-37758.0000	1562.0000	-14843.0000	0
16	8	1	-42843.0000	1120.0000	21267.0000	1
16	8	2	11552.0000	200.0000	35680.0000	2
17	9	0	-33408.0000	4000.0000	-1408.0000	0
18	10	0	-35904.0000	2000.0000	-10880.0000	0
18	10	1	-19500.0000	3000.0000	-33900.0000	1
18	10	2	-29000.0000	2000.0000	-7560.0000	2
19	11	0	-15104.0000	1500.0000	-8576.0000	0
19	11	1	-1408.0000	1500.0000	15104.0000	1
19	11	2	-38656.0000	7000.0000	-23296.0000	2
20	12	0	-47744.0000	780.0000	-4672.0000	0
21	13	0	-43692.0000	1168.0000	6385.0000	0
21	13	1	17875.0000	1684.0000	-33316.0000	1
21	13	2	-2144.0000	280.0000	23582.0000	2
22	14	0	-16336.0000	0.0000	-1682.7200	0
23	15	0	-29967.0000	975.0000	27000.0000	0
