# 0x82303E68 (slot 30 of the LIVE flight model 0x8200F310)
# micro-executed, against ac6::retail::update_live_flight_ramps.
# The five ramp columns are COMPARED; the five axis columns are
# recorded and NOT compared -- that block is not ported yet.
# case	verdict	+360	+364	+368	+372	+376	uncompared+304	uncompared+308	uncompared+312	uncompared+1352	uncompared+1356	why the case exists
idle	ok	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	everything zero
lag-from-zero	ok	0.05000000447034836	0.05000000447034836	0.01666666753590107	0.01666666753590107	0.0	0.0	0.0	0.0	0.0	0.0	a lag takes a fraction of the gap
lag-at-target	ok	1.0	1.0	0.01666666753590107	0.01666666753590107	0.0	0.0	0.0	0.0	0.0	0.0	at the target the lag does not move
overshoot	ok	3.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	rate*step > 1 goes PAST the target and retail lets it
separate-commands	ok	0.05000000447034836	0.0	0.01666666753590107	0.0	0.05000000447034836	0.0	0.0	0.0	0.0	0.0	cmd48 must not reach at364
secondary-up	ok	1.0	1.0	0.01666666753590107	0.01666666753590107	0.0	0.0	0.0	0.0	0.0	0.0	past the threshold both secondaries rise a whole step
secondary-down	ok	0.0	0.0	0.4833333194255829	0.4833333194255829	0.0	0.0	0.0	0.0	0.0	0.0	below it they fall a whole step
secondary-ceiling	ok	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	and stop at 1.0
secondary-floor	ok	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	and at zero
gate-clears-at368-only	ok	1.0	1.0	0.0	0.5166666507720947	0.0	0.0	0.0	0.0	0.0	0.0	a zero gate byte clears at368 and not at372
bypass	ok	0.75	0.25	0.5	0.0	0.5	0.0	0.0	0.0	0.0	0.0	bit 7 skips the lags but at376 is still recomputed
full-mantissas	ok	0.4157370328903198	-0.6038663387298584	0.15000000596046448	0.7166666388511658	1.0196033716201782	0.0	0.0	0.0	0.0	0.0	long binary expansions everywhere
