angle	which	retail	port	verdict
0.0	sin	0.0	0.0	ok
0.0	cos	1.0	1.0	ok
-0.0	sin	0.0	0.0	ok
-0.0	cos	1.0	1.0	ok
3.1415927410125732	sin	-2.905726432800293e-07	-2.905726432800293e-07	ok
3.1415927410125732	cos	-0.9999997019767761	-0.9999997019767761	ok
-3.1415927410125732	sin	2.905726432800293e-07	2.905726432800293e-07	ok
-3.1415927410125732	cos	-0.9999997019767761	-0.9999997019767761	ok
1.5707963705062866	sin	0.9999999403953552	0.9999999403953552	ok
1.5707963705062866	cos	-3.451714292168617e-08	-3.451714292168617e-08	ok
-1.5707963705062866	sin	-0.9999999403953552	-0.9999999403953552	ok
-1.5707963705062866	cos	-3.451714292168617e-08	-3.451714292168617e-08	ok
0.7853981852531433	sin	0.7071067690849304	0.7071067690849304	ok
0.7853981852531433	cos	0.7071067690849304	0.7071067690849304	ok
-0.7853981852531433	sin	-0.7071067690849304	-0.7071067690849304	ok
-0.7853981852531433	cos	0.7071067690849304	0.7071067690849304	ok
1.0	sin	0.8414709568023682	0.8414709568023682	ok
1.0	cos	0.5403023362159729	0.5403023362159729	ok
-1.0	sin	-0.8414709568023682	-0.8414709568023682	ok
-1.0	cos	0.5403023362159729	0.5403023362159729	ok
0.7853981852531433	sin	0.7071067690849304	0.7071067690849304	ok
0.7853981852531433	cos	0.7071067690849304	0.7071067690849304	ok
2.356194496154785	sin	0.7071065902709961	0.7071065902709961	ok
2.356194496154785	cos	-0.7071068286895752	-0.7071068286895752	ok
1e-07	sin	1.0000000116860974e-07	1.0000000116860974e-07	ok
1e-07	cos	1.0	1.0	ok
-1e-07	sin	-1.0000000116860974e-07	-1.0000000116860974e-07	ok
-1e-07	cos	1.0	1.0	ok
-3.1415927410125732	sin	2.905726432800293e-07	2.905726432800293e-07	ok
-3.1415927410125732	cos	-0.9999997019767761	-0.9999997019767761	ok
-3.108696460723877	sin	-0.03289058059453964	-0.03289058059453964	ok
-3.108696460723877	cos	-0.999458909034729	-0.999458909034729	ok
-3.0758001804351807	sin	-0.06574481725692749	-0.06574481725692749	ok
-3.0758001804351807	cos	-0.9978364706039429	-0.9978364706039429	ok
-3.0429039001464844	sin	-0.09852859377861023	-0.09852859377861023	ok
-3.0429039001464844	cos	-0.9951341152191162	-0.9951341152191162	ok
-3.010007619857788	sin	-0.13120554387569427	-0.13120554387569427	ok
-3.010007619857788	cos	-0.9913551807403564	-0.9913551807403564	ok
-2.977111339569092	sin	-0.16374081373214722	-0.16374081373214722	ok
-2.977111339569092	cos	-0.9865031838417053	-0.9865031838417053	ok
-2.9442152976989746	sin	-0.19609840214252472	-0.19609840214252472	ok
-2.9442152976989746	cos	-0.9805843830108643	-0.9805843830108643	ok
-2.9113190174102783	sin	-0.22824372351169586	-0.22824372351169586	ok
-2.9113190174102783	cos	-0.9736040234565735	-0.9736040234565735	ok
-2.878422737121582	sin	-0.26014262437820435	-0.26014262437820435	ok
