# Retail vectors for the input record, produced by micro-executing 0x821CAA50.
# Every row is one run: the fields the native port reads, and the record bytes
# retail left behind, read from the harness's 0x00 poison pass -- which is also
# the state 0x821CA908 clears the record to before the consumer runs.
#
# Committed so tests/retail_input_record_differential_tests.cpp can run inside
# ctest without Ghidra. Regenerate with tools/emit_input_record_vectors.py.
#
# The `pressed` and `released` sweeps are NOT here: they change no record byte,
# so they are a negative result and belong in the report, not in a vector table
# that exists to pin values.
#
# columns: case held scalar14 scalar15 halves flags slots
axis-LYp-0000	0x00000000	0x0000	0x0000	LY+=0x0000	0x00000000	0x44=0x00000000,0x48=0x00000000,0x4C=0x80000000,0x50=0x80000000,0x54=0x80000000,0x58=0x80000000
axis-LYp-0001	0x00000000	0x0000	0x0000	LY+=0x0001	0x00000000	0x44=0x00000000,0x48=0x00000000,0x4C=0x80000000,0x50=0x38000100,0x54=0x80000000,0x58=0x80000000
axis-LYp-0002	0x00000000	0x0000	0x0000	LY+=0x0002	0x00000000	0x44=0x00000000,0x48=0x00000000,0x4C=0x80000000,0x50=0x38800100,0x54=0x80000000,0x58=0x80000000
axis-LYp-0003	0x00000000	0x0000	0x0000	LY+=0x0003	0x00000000	0x44=0x00000000,0x48=0x00000000,0x4C=0x80000000,0x50=0x38C00180,0x54=0x80000000,0x58=0x80000000
axis-LYp-0004	0x00000000	0x0000	0x0000	LY+=0x0004	0x00000000	0x44=0x00000000,0x48=0x00000000,0x4C=0x80000000,0x50=0x39000100,0x54=0x80000000,0x58=0x80000000
axis-LYp-0005	0x00000000	0x0000	0x0000	LY+=0x0005	0x00000000	0x44=0x00000000,0x48=0x00000000,0x4C=0x80000000,0x50=0x39200140,0x54=0x80000000,0x58=0x80000000
axis-LYp-0007	0x00000000	0x0000	0x0000	LY+=0x0007	0x00000000	0x44=0x00000000,0x48=0x00000000,0x4C=0x80000000,0x50=0x396001C0,0x54=0x80000000,0x58=0x80000000
axis-LYp-0008	0x00000000	0x0000	0x0000	LY+=0x0008	0x00000000	0x44=0x00000000,0x48=0x00000000,0x4C=0x80000000,0x50=0x39800100,0x54=0x80000000,0x58=0x80000000
axis-LYp-0009	0x00000000	0x0000	0x0000	LY+=0x0009	0x00000000	0x44=0x00000000,0x48=0x00000000,0x4C=0x80000000,0x50=0x39900120,0x54=0x80000000,0x58=0x80000000
axis-LYp-000f	0x00000000	0x0000	0x0000	LY+=0x000F	0x00000000	0x44=0x00000000,0x48=0x00000000,0x4C=0x80000000,0x50=0x39F001E0,0x54=0x80000000,0x58=0x80000000
axis-LYp-0010	0x00000000	0x0000	0x0000	LY+=0x0010	0x00000000	0x44=0x00000000,0x48=0x00000000,0x4C=0x80000000,0x50=0x3A000100,0x54=0x80000000,0x58=0x80000000
axis-LYp-0011	0x00000000	0x0000	0x0000	LY+=0x0011	0x00000000	0x44=0x00000000,0x48=0x00000000,0x4C=0x80000000,0x50=0x3A080110,0x54=0x80000000,0x58=0x80000000
axis-LYp-001f	0x00000000	0x0000	0x0000	LY+=0x001F	0x00000000	0x44=0x00000000,0x48=0x00000000,0x4C=0x80000000,0x50=0x3A7801F0,0x54=0x80000000,0x58=0x80000000
axis-LYp-0020	0x00000000	0x0000	0x0000	LY+=0x0020	0x00000000	0x44=0x00000000,0x48=0x00000000,0x4C=0x80000000,0x50=0x3A800100,0x54=0x80000000,0x58=0x80000000
axis-LYp-0021	0x00000000	0x0000	0x0000	LY+=0x0021	0x00000000	0x44=0x00000000,0x48=0x00000000,0x4C=0x80000000,0x50=0x3A840108,0x54=0x80000000,0x58=0x80000000
axis-LYp-003f	0x00000000	0x0000	0x0000	LY+=0x003F	0x00000000	0x44=0x00000000,0x48=0x00000000,0x4C=0x80000000,0x50=0x3AFC01F8,0x54=0x80000000,0x58=0x80000000
